quarter_id,indicator_code,value,value_status,source_file
2007Q4,underemployment_change_qoq,-3.848,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q4,underemployment_rate,18.143,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q4,unemployment_rate,6.252,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q4,employment_rate,93.748,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q4,lfpr,63.185,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q4,underemployment_change_yoy,-2.172,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2007Q4,gdp_growth_yoy,6.5,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q4,gdp_growth_yoy_accel,0,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2007Q4,gdp_level,2.69825e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q4,gdp_growth_qoq,14.1985,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2007Q4,cpi_index,68.3672,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q4,inflation_yoy,3.1982,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q4,inflation_yoy_accel,0.3817,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2007Q4,growth_employment_gap,4.328,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q1,underemployment_change_qoq,0.757,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q1,underemployment_rate,18.9,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q1,unemployment_rate,7.357,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q1,employment_rate,92.643,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q1,lfpr,63.37,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q1,underemployment_change_yoy,-2.605,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q1,gdp_growth_yoy,4.2,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q1,gdp_growth_yoy_accel,-2.3,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q1,gdp_level,2.39361e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q1,gdp_growth_qoq,-11.2905,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q1,cpi_index,70.1364,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q1,inflation_yoy,5.2097,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q1,inflation_yoy_accel,2.0115,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
2008Q1,growth_employment_gap,1.595,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q2,underemployment_change_qoq,0.855,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q2,underemployment_rate,19.755,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q2,unemployment_rate,7.995,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q2,employment_rate,92.005,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q2,lfpr,63.171,observed,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q2,underemployment_change_yoy,0.831,derived,psa_openstat_lfs_underemployment_0021B3FKEI2_2026-08-02_part1.csv
2008Q2,gdp_growth_yoy,4.8,observed,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q2,gdp_growth_yoy_accel,0.6,derived,psa_openstat_qna_gdp_growth_0062B5BPRQ2_2026-08-02.csv
2008Q2,gdp_level,2.603e+06,observed,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q2,gdp_growth_qoq,8.748,derived,psa_openstat_qna_gdp_levels_0052B5BPRQ1_2026-08-02.csv
2008Q2,cpi_index,72.5828,derived,psa_openstat_cpi_index_2018_2025_0012M4ACP09_2026-08-02.csv
